N,seed,kproj,hyper_w,hyper_M,probes,recall,qps,time_per_query
1,42,12,1000,5000,500,0.08333333333333333,122.936964,0.008134250004742268
1,42,12,1000,10000,100,0.08333333333333333,90.911846,0.010999666644102684
1,42,12,1000,10000,250,0.08333333333333333,78.270738,0.012776166745738364
1,42,12,1000,10000,500,0.08333333333333333,50.742103,0.019707500101050206
1,42,14,20,2000,100,0.0,239.058111,0.004183083334076876
1,42,14,20,2000,250,0.0,467.653936,0.0021383333337324888
1,42,14,20,2000,500,0.0,404.55802,0.002471833335549744
1,42,14,20,5000,100,0.08333333333333333,145.518044,0.006872000011215104
1,42,14,20,5000,250,0.08333333333333333,74.450001,0.013431833264851131
1,42,14,20,5000,500,0.08333333333333333,192.613281,0.005191749991528362
1,42,14,20,10000,100,0.08333333333333333,93.007394,0.010751833343486648
1,42,14,20,10000,250,0.08333333333333333,68.499406,0.014598666738803546
1,42,14,20,10000,500,0.08333333333333333,77.92056,0.012833583331536632
1,42,14,40,2000,100,0.0,612.682528,0.00163216666756327
1,42,14,40,2000,250,0.0,362.570626,0.0027580833313286665
1,42,14,40,2000,500,0.0,230.472276,0.004338916668658229
1,42,14,40,5000,100,0.08333333333333333,200.601805,0.004985000010343875
1,42,14,40,5000,250,0.08333333333333333,138.508951,0.0072197500073479005
1,42,14,40,5000,500,0.08333333333333333,152.305525,0.0065657499949525805
1,42,14,40,10000,100,0.08333333333333333,88.065638,0.011355166699638285
1,42,14,40,10000,250,0.08333333333333333,83.788351,0.011934833280105965
1,42,14,40,10000,500,0.08333333333333333,57.982219,0.017246666603083955
1,42,14,80,2000,100,0.0,289.254206,0.0034571666695142195
1,42,14,80,2000,250,0.0,440.722785,0.002269000001894615
1,42,14,80,2000,500,0.0,380.348653,0.0026291666661956074
1,42,14,80,5000,100,0.08333333333333333,129.458217,0.007724500021501146
1,42,14,80,5000,250,0.08333333333333333,165.48985,0.006042666665055289
1,42,14,80,5000,500,0.08333333333333333,158.056953,0.006326833340890736
1,42,14,80,10000,100,0.08333333333333333,84.658474,0.011812166611933024
1,42,14,80,10000,250,0.08333333333333333,85.310281,0.011721916611668411
1,42,14,80,10000,500,0.08333333333333333,86.445989,0.01156791670230067
1,42,14,120,2000,100,0.0,350.354734,0.002854250001371467
1,42,14,120,2000,250,0.0,547.745116,0.001825666666464626
1,42,14,120,2000,500,0.0,280.177446,0.003569166663043963
1,42,14,120,5000,100,0.08333333333333333,138.91783,0.007198500005362882
1,42,14,120,5000,250,0.08333333333333333,165.901676,0.006027666652385115
1,42,14,120,5000,500,0.08333333333333333,189.050807,0.005289583344650838
1,42,14,120,10000,100,0.08333333333333333,121.904143,0.008203166647092544
1,42,14,120,10000,250,0.08333333333333333,69.405886,0.014407999920928897
1,42,14,120,10000,500,0.08333333333333333,78.69833,0.01270674993992884
1,42,14,300,2000,100,0.0,385.492627,0.002594083336385056
1,42,14,300,2000,250,0.0,317.670417,0.003147916666096107
1,42,14,300,2000,500,0.0,561.167228,0.001781999999472528
1,42,14,300,5000,100,0.08333333333333333,171.855756,0.005818833324383967
1,42,14,300,5000,250,0.08333333333333333,182.912888,0.0054670833254789565
1,42,14,300,5000,500,0.08333333333333333,140.65357,0.007109666679629959
1,42,14,300,10000,100,0.08333333333333333,58.523739,0.017087083243263045
1,42,14,300,10000,250,0.08333333333333333,55.546555,0.018002916652526877
1,42,14,300,10000,500,0.08333333333333333,58.498633,0.01709441654816105
1,42,14,500,2000,100,0.0,313.561536,0.003189166671259067
1,42,14,500,2000,250,0.0,430.910658,0.0023206666658962052
1,42,14,500,2000,500,0.0,566.545489,0.001765083332964284
1,42,14,500,5000,100,0.08333333333333333,166.805671,0.005995000014118225
1,42,14,500,5000,250,0.08333333333333333,166.352445,0.0060113333470992875
1,42,14,500,5000,500,0.08333333333333333,95.55053,0.010465666700121916
1,42,14,500,10000,100,0.08333333333333333,75.475496,0.013249333267051334
1,42,14,500,10000,250,0.08333333333333333,89.010867,0.011234583300935604
1,42,14,500,10000,500,0.08333333333333333,90.354642,0.011067499996292387
1,42,14,1000,2000,100,0.0,532.056398,0.0018794999999229406
1,42,14,1000,2000,250,0.0,569.665322,0.001755416665506629
1,42,14,1000,2000,500,0.0,519.975734,0.001923166668389183
1,42,14,1000,5000,100,0.08333333333333333,166.527893,0.006005000015222675
1,42,14,1000,5000,250,0.08333333333333333,165.239184,0.00605183332302101
1,42,14,1000,5000,500,0.08333333333333333,107.082623,0.009338583347925648
1,42,14,1000,10000,100,0.08333333333333333,88.980506,0.011238416648248773
1,42,14,1000,10000,250,0.08333333333333333,89.396795,0.011186083348961224
1,42,14,1000,10000,500,0.08333333333333333,81.613776,0.012252833394205409
1,42,16,20,2000,100,0.0,472.21785,0.0021176666659254834
1,42,16,20,2000,250,0.0,619.386807,0.0016145000001590282
1,42,16,20,2000,500,0.0,457.962829,0.0021835833318253873
1,42,16,20,5000,100,0.08333333333333333,120.211572,0.008318666692088512
1,42,16,20,5000,250,0.08333333333333333,164.239571,0.006088666658779813
1,42,16,20,5000,500,0.08333333333333333,161.871231,0.006177750016616603
1,42,16,20,10000,100,0.08333333333333333,86.040626,0.011622416601199531
1,42,16,20,10000,250,0.08333333333333333,53.793326,0.018589666680955925
1,42,16,20,10000,500,0.08333333333333333,78.77117,0.01269499996001075
1,42,16,40,2000,100,0.0,318.007155,0.0031445833349252783
1,42,16,40,2000,250,0.0,393.262109,0.0025428333345992407
1,42,16,40,2000,500,0.0,482.897384,0.002070833334644861
