N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
10,42,1000,2200,5,512,8,512,0.001,0.2333333333333333,75.98713029,0.013160123249602456
10,42,1000,2200,10,128,8,512,0.001,0.2333333333333333,69.25594363,0.014439193917312017
10,42,1000,2200,10,256,8,512,0.001,0.2333333333333333,76.53956708,0.013065137916899752
10,42,1000,2200,10,512,8,512,0.001,0.2333333333333333,77.49328293,0.012904344250111381
10,42,1000,2200,15,128,8,512,0.001,0.2333333333333333,71.70627875,0.0139457801664265
10,42,1000,2200,15,256,8,512,0.001,0.2333333333333333,75.78403654,0.01319539108308363
10,42,1000,2200,15,512,8,512,0.001,0.2333333333333333,75.62074852,0.013223883915080822
10,42,1500,1800,5,128,8,512,0.001,0.2333333333333333,63.04967826,0.01586050916669658
10,42,1500,1800,5,256,8,512,0.001,0.2333333333333333,65.97498891,0.015157259084410813
10,42,1500,1800,5,512,8,512,0.001,0.2333333333333333,61.68993786,0.016210098999765794
10,42,1500,1800,10,128,8,512,0.001,0.2333333333333333,55.81956244,0.01791486633516506
10,42,1500,1800,10,256,8,512,0.001,0.2333333333333333,63.96928349,0.015632502748859536
10,42,1500,1800,10,512,8,512,0.001,0.2333333333333333,48.41156257,0.020656222334366182
10,42,1500,1800,15,128,8,512,0.001,0.2333333333333333,56.75507029,0.017619571165894507
10,42,1500,1800,15,256,8,512,0.001,0.2333333333333333,61.58079786,0.016238828250868656
10,42,1500,1800,15,512,8,512,0.001,0.2333333333333333,61.62554666,0.016227036581390384
10,42,1500,2000,5,128,8,512,0.001,0.2333333333333333,61.82176692,0.016175532499646
10,42,1500,2000,5,256,8,512,0.001,0.2333333333333333,64.8988968,0.015408582415225277
10,42,1500,2000,5,512,8,512,0.001,0.2333333333333333,63.59623648,0.015724200917368498
10,42,1500,2000,10,128,8,512,0.001,0.2333333333333333,61.60516002,0.016232406500938427
10,42,1500,2000,10,256,8,512,0.001,0.2333333333333333,65.32380983,0.015308353915707307
10,42,1500,2000,10,512,8,512,0.001,0.2333333333333333,64.5087199,0.015501780248471493
10,42,1500,2000,15,128,8,512,0.001,0.2333333333333333,63.86494896,0.01565804116787632
10,42,1500,2000,15,256,8,512,0.001,0.2333333333333333,60.26282002,0.01659397949960059
10,42,1500,2000,15,512,8,512,0.001,0.2333333333333333,62.15358409,0.01608917674887379
10,42,1500,2200,5,128,8,512,0.001,0.2333333333333333,59.78075259,0.016727792084826946
10,42,1500,2200,5,256,8,512,0.001,0.2333333333333333,58.47314486,0.01710186791550654
10,42,1500,2200,5,512,8,512,0.001,0.2333333333333333,64.68694012,0.015459070998642252
10,42,1500,2200,10,128,8,512,0.001,0.2333333333333333,64.37826161,0.015533193581056065
10,42,1500,2200,10,256,8,512,0.001,0.2333333333333333,64.90336589,0.01540752141722245
10,42,1500,2200,10,512,8,512,0.001,0.2333333333333333,64.98308103,0.015388620917163677
10,42,1500,2200,15,128,8,512,0.001,0.2333333333333333,65.84803511,0.015186482001011678
10,42,1500,2200,15,256,8,512,0.001,0.2333333333333333,63.79621346,0.01567491149967696
10,42,1500,2200,15,512,8,512,0.001,0.2333333333333333,61.39963318,0.016286742252488485
50,42,1000,1800,5,128,8,512,0.001,0.30044137022397893,58.7707622,0.017015263416134494
